agricultural crop
agricultural fertilization
agricultural field
agricultural intensification
agricultural land
agricultural mulch
agricultural production
agricultural utilization
agricultural valorization
agroecological no-till
agroforestry mulches
alfalfa
alfalfa growth
allelopathic crop
alley-cropping
alley-cropping practice
alternative mulches
amendment
amendment rates
bagasse amendment
banana crop
bean intercrop
beet crop
biochar-amended soils
biochar-based fertilizer
biocompost application
bio-fertilization
biofertilizer inoculants
biofertilizer production
biological amendments
bio-mulches
bio-organic fertilizer
biophosphate
bunch mulch
cabbage cultivation
cabbage seedlings
cabbage yield
cane crop
carrot crops
cereal crop
cereal crops
charcoal amendment
comparative fertility
compost addition
compost amendment
compost application
compost burial
compost effect
compost fertilization
compost incorporation
compost supplementation
compost usage
compost utilisation
compound fertilizer
consecutive amendment
consecutive application
conservation agriculture
corn crop
crop
crop mulch
crop n-fertilizer
crop production
crop productivity
crop rotation
crop system
crop yield
crop-n supply
dadap mulches
degradable mulch
digestate biofertilizer
dioscorea
dioscorea cayenensis
dioscorea composita
dioscorea rotundata
double rice-cropping
double-cropping system
ecofriendly fertilizer
fertility
fertility improvement
fertility indicators
fertility management
fertility potential
fertility properties
fertility response
fertility soils
fertility status
fertilization
fertilization effects
fertilization impacts
fertilization influence
fertilization practices
fertilizer addition
fertilizer application
fertilizer concentration
fertilizer doses
fertilizer efficiency
fertilizer inputs
fertilizer level
fertilizer nitrogen
fertilizer nitrogen-15
fertilizer pellets
fertilizer rate
fertilizer recovery
fertilizer supplement
fertilizer utilization
fertilizer values
field corn
field maize
field mustard
field production
field-based crop
film mulch
fodder crop
fodder legumes
fodder production
fodder weeds
fodder yield
fodderbeet
fodderbeet production
foliar fertilizer
food vegetable
forage alfalfa
forage grasses
forage legumes
forage production
forage sorghum
forage yield
french bean
frond mulch
fruit crops
fruit cultivation
fruit production
fruit vegetables
fruit yield
garlic crop
giant grass
ginger crop
ginger production
grapevine productivity
grass
grass mulch
green beans
green maize
green mustard
green soybean
greengram crop
greenhouse pepper
greenhouse tomato
green-mulch
ground biochar
groundnut crop
hazelnut yield
herb production
horticultural production
horticulture
humic fertilizer
hybrid rice
indigenous crops
industrial by-products
industrial crop
intensive rice
intensive rice-rice
intensive rice-wheat
intensive vegetable
intercrop
ipomoea batatas
ipomoea staphylina
jatropha seed
jatropha seedlings
jujube
kidney bean
land rice
late-season tomato
legume
legume crop
legume productivity
leguminous cover
leguminous crop
lemon
lemon basil
lemon grass
lentil cultivars
lettuce
lettuce crops
lettuce growth
lettuce production
lettuce seedling
leucaena mulch
lignocellulosic crop
liquid fertilizer
litter mulch
long beans
long-term application
long-term crop
long-term fertilization
long-term maize
long-term no-till
long-term tillage
lowland rice
lycopersicon esculentum
maize
maize bioassay
maize chickpea
maize cob
maize crop
maize cultivation
maize growth
maize harvesting
maize high
maize hybrids
maize performance
maize production
maize productivity
maize relay-planting
maize rotation
maize system
maize -wheat
maize yield
maize-brachiaria
maize-cotton
maize-cotton rotation
maize-groundnut
maize-groundnut rotation
maize-rice rotation
maize-rice-rice-maize
maize-wheat rotation
maize-wheat system
maize-winter
malus domestica
mangifera indica
mango
mango litter
mango orchard
manihot esculenta
manure addition
manure amendment
manure application
manure biochar
manure fertilizer
material amendments
melon
melon seed
millet crop
millet growth
millet monoculture
millet production
millet yield
millet-cowpea
millet-cowpea intercrop
mineral balance
mineral complementation
mineral mulches
minimum tillage
mint cultivation
miscanthus spp
mixed crop
mixed culture
monoculture
moringa
moringa crop
morus alba
mulberry
mulch
mulch amendments
mulch application
mulch decomposition
mulch effects
mulch fractions
mulch materials
mulch modes
mulch quality
mulch soil
mulch system
mulch types
mung bean
mungbean yield
mungbean-durum wheat
musa aab
musa paradisiaca
musa spp
mushroom cultivation
mushroom culture
mushroom growth
mushroom production
mushrooms
mustard
mustard crop
mycorhization
mycorrhizae
mycorrhizal fungi
mycorrhizal inoculant
mycorrhizal population
n2 fixation
n2-fixing
napier grass
natural fertilizer
neem seedlings
n-fertilization
niagara rosada
nigella sativa
nitrogen amendment
nitrogen stress
nitrogen supplementation
nitrogen supply
nitrogen-use efficiency
nonfood crops
no-till
no-till soil
no-till soybean
no-till system
no-till wheat
no-tillage
no-tillage systems
np-fertilizers
npk
npk fertilizers
npk status
npk uptake
oilseed
okara soybean
okra
okra production
oleifera
oleifera abel
onion
onion crop
onion production
onion yield
orchard
orchard productivity
organic agriculture
organic alley-cropping
organic crop
organic fertilization
organic mulch
organic okra
organic pineapple
organic potato
organic tomato
organic-based fertilization
organic-corn production
organo-mineral fertilizer
organophosphate
organophosphate pollutants
oryza sativa
paddies
paddy ecosystem
paddy field
paddy rice
palm plantation
palm production
palm replanting
palm seedlings
pasture soils
pea system
peanut production
peanut productivity
pear orchards
pepper crop
pepper yield
peri-urban agriculture
persimmon cultivation
phosphate additive
phosphate amendments
phosphate biofertilizer
phosphate fertilizer
phosphorus fertilization
phosphorus fertilizer
pigeonpea-wheat
pineapple production
pistachio production
pistachio seedlings
polyculture
polyculture plantation
polyculture system
polyculture vermireactors
poor-quality crop
post-legume crops
potassic fertilizer
potassium application
potassium availability
potassium fertilization
potassium pools
potassium supplementation
potassium supply
potato crop
potato growth
potato production
potato productivity
potato varieties
potato yield
potatoes
potato-onion-groundnut rotation
priming effect
radish field
rainfed agricultural
rainfed agroecosystems
rain-fed cotton
rainfed fig
rainfed groundnut
rainfed maize
rainfed mustard
rainfed orchard
rainfed rice
rainfed soybean
rainfed sugarcane
rainfed wheat
raised-bed vegetable
raphanus sativus
ratoon crop
residual crop
residue amendments
residue application
rice crop
rice field
rice growth
rice harvest
rice production
rice productivity
rice rotation
rice system
rice -wheat
rice yield
rice-cropping
rice-cropping system
rice-maize
rice-maize system
rice-rice system
rice-wheat production
rice-wheat system
root crops
root culture
salt-stressed cropland
salt-tolerant rice
season crop
seaweed fertilizer
selected crop
semi-arid agro-ecology
semiarid agroecosystem
semi-continuous cultivation
sequential-co-culture
sequential-co-culture system
sesame productivity
shallot cultivation
shallot production
shallot yield
siamea mulch
slow-release fertilizers
slow-release nitrogen
sludge amendment
sludge biochar
sludge fertilization
sludge incorporation
slurry application
snake cucumber
soil amelioration
soil amendment
solanum melongena
solanum tuberosum
sorghum cotton
sorghum crop
sorghum growth
sorghum production
sorghum productivity
sorghum rotation
sorghum yield
sorghum-oats
soybean agroecosystem
soybean cultivation
soybean ecosystem
soybean fields
soybean production
soybean productivity
soybean -wheat
soybean yield
soybean-wheat rotation
spinacia oleracea
spring-wheat agroecosystems
straw amendment
straw application
straw mulch
strawberry production
strawberry yield
straw-mulching
straw-mulching system
substrate amendments
sugar cane
sugar crop
sugarcane crop
sugarcane cultivation
sugarcane field
sugarcane growth
sugarcane mulches
sugarcane plantation
sugarcane production
sugarcane productivity
sugarcane yield
sugarcane-based crop
summer chilli
summer crop
summer legume
summer maize
summer okra
summer sesame
sunflower crop
sunflower growth
sunflower yield
sustainable crop
sustainable rice
symbiotic co-culture
syzygium aromaticum
tagetes erecta
taro
taro plant
tea productivity
theobroma cacao
tomato
tomato crop
tomato cultivation
tomato field
tomato growth
tomato harvest
tomato production
tomato yield
trash mulch
triticum durum
tropical agriculture
tropical agroecosystem
tuber crop
turf culture
turfgrass production
urban agriculture
urban agroecosystems
vegetable
vegetable cowpea
vegetable crop
vegetable field
vegetable growth
vegetable production
vegetable productivity
vegetable root
vegetable rotations
vegetable spinach
vegetative mulches
vermicompost application
vermifertilizer
vigna radiata
vigna subterranea
vigna unguiculata
vine growth
viticulture
walnut plantation
waste characterization
waterlogged paddy
weed mulch
wheat crop
wheat cultivation
wheat growth
wheat production
wheat productivity
wheat rotation
wheat yield
wheat-maize
wheat-maize rotation
wheat-maize system
wheat-maize-wheat
wheat-peanut
wheat-peanut rotation
wheat-rice rotation
wheat-soybean rotation
wheat-summer maize
winter canola
winter cucumber
winter maize
winter sorghum
winter tomato
winter triticale
winter wheat
winter wheat-summer
yam yield
yellow yam
