term,label
aeration bioreactor,TM
aerobic biodegradation,TM
aerobic compost,TM
aerobic digestates,TM
aerobic digester,TM
aerobic digestion,TM
aerobic fermentation,TM
aerobic reactor,TM
algal biofuel,TM
algal bioreactor,TM
algal photobioreactor,TM
algal reactor,TM
alternative bioethanol,TM
anaerobic batch,TM
anaerobic bioconversion,TM
anaerobic biodegradability,TM
anaerobic biogas,TM
anaerobic bioreactor,TM
anaerobic compost,TM
anaerobic digester,TM
anaerobic digestion,TM
anaerobic fermentation,TM
anaerobic methane,TM
anaerobic pilot,TM
batch,TM
batch biohydrogen,TM
batch bioreactor,TM
batch digester,TM
batch experiment,TM
batch feeding,TM
batch fermentation,TM
batch methane,TM
batch photobioreactor,TM
batch process,TM
batch reactor,TM
batch tests,TM
bed bioreactor,TM
bed digester,TM
bed gasifier,TM
bed reactor,TM
bio composting,TM
bioconversion composting,TM
biodigester,TM
biodigester effluent,TM
bio drying,TM
biodrying process,TM
bio electricity,TM
bioelectricity generation,TM
bioelectricity production,TM
bioelectrochemical hydrogen,TM
bio electrofermentation,TM
bio energy,TM
bioenergy bioprocessing,TM
bioenergy byproduct,TM
bioenergy generation,TM
bioenergy production,TM
bio ethanol,TM
bioethanol fermentation,TM
bioethanol yield,TM
bio fuel,TM
biofuel production,TM
bio gas,TM
biogas generation,TM
biogas pilot,TM
biogas yield,TM
bio hydrogen,TM
biohydrogen generation,TM
biohydrogen yield,TM
biomass energy,TM
biomass fermentation,TM
biomethanation,TM
bio methane,TM
biotransformation,TM
biphasic biomethanation,TM
bmp,TM
bokashi,TM
cellulosic biofuel,TM
cellulosic ethanol,TM
ch4,TM
ch4 emissions,TM
closed digester,TM
closed reactor,TM
co composting,TM
co digester,TM
co fermentation,TM
co generation,TM
column bioreactor,TM
combined pretreatment,TM
compost bioreactor,TM
compost maturity,TM
composting vermicomposting,TM
consecutive batch,TM
continuous bioreactor,TM
continuous digester,TM
continuous vermicomposting,TM
co vermicomposting,TM
cstr,TM
dark fermentation,TM
digestion,TM
digestion biogas,TM
digestion plant,TM
digestion process,TM
digestion reactor,TM
domestic biogas,TM
drum composter,TM
drum reactor,TM
dry fermentation,TM
dual sludge,TM
energy crops,TM
enhanced bioenergy,TM
enhanced biofuel,TM
enhanced biogas,TM
enhanced biogasification,TM
enhanced ethanol,TM
enhanced methane,TM
enhanced methanogenesis,TM
enhanced vermicomposting,TM
ethanol biosynthesis,TM
ethanol production,TM
ethanol yield,TM
ethanolic biodiesel,TM
ethanol methane,TM
feed digesters,TM
feed inoculum,TM
fermentation,TM
fermentative ethanol,TM
hydrogen fermentation,TM
fermentative methane,TM
methane fermentation,TM
forced aeration,TM
fuel bioethanol,TM
fungal bioreactor,TM
fungal fermentation,TM
gas yield,TM
gaseous biofuel,TM
green biorefinery,TM
heterotrophic bioreactors,TM
household biogas,TM
household digesters,TM
hyacinth digester,TM
hybrid bioreactor,TM
hybrid reactor,TM
hydrogen energy,TM
hydrogen gas,TM
hydrogen production,TM
hydrogen recovery,TM
hydrogenogenic fermentation,TM
hydrothermal fermentation,TM
hydrothermal treatment,TM
industrial biofuel,TM
intermittent aeration,TM
in vessel,TM
jatropha curcas,TM
laboratory bioreactor,TM
leachate recirculation,TM
leaf vermicomposting,TM
light fermentation,TM
lignocellulosic bioethanol,TM
lignocellulosic bioprocess,TM
liquid biofuel,TM
liquid fermentation,TM
maggot bioconversion,TM
manure vermicomposting,TM
marxianusfor ethanol,TM
maturation phase,TM
maturation process,TM
membrane photobioreactor,TM
mesophilic condition,TM
mesophilic phase,TM
mesophilic temperature,TM
methanation,TM
methane emission,TM
methane generation,TM
methane production,TM
methane yield,TM
methanisation process,TM
methanization system,TM
methanogenic phases,TM
methanogens,TM
microaerobic hydrogen,TM
microalgal biodiesel,TM
microalgal biofuels,TM
microalgal bioreactor,TM
microalgal biorefinery,TM
microalgal fermentation,TM
microdiesel production,TM
mill biogas,TM
molasses fermentation,TM
mono digestion,TM
mycothermus,TM
mycothermus thermophilus,TM
ofmsw fermentation,TM
oil biodiesel,TM
olive biodiesel,TM
open fermentation,TM
overproduction,TM
oxidation bioreactor,TM
passive aeration,TM
photobioreactor,TM
photosynthetic biogas,TM
photosynthetic microalgae,TM
pile heat,TM
pile shape,TM
pile temperature,TM
pilot digester,TM
plate photobioreactor,TM
poultry biogas,TM
pre composting,TM
prototype vermicomposting,TM
renewable biomass,TM
renewable biomethane,TM
renewable diesel,TM
renewable energy,TM
renewable fuel,TM
sawdust cocomposting,TM
seed sludge,TM
silage fermentation,TM
sludge digestion,TM
sludge fermentation,TM
sludge vermicomposting,TM
solid biofuel,TM
static heap,TM
straw bioconversion,TM
straw fermentation,TM
sugarcane bioenergy,TM
sugarcane biorefineries,TM
sugarcane ethanol,TM
sugar ethanol,TM
sustainable biobutanol,TM
sustainable biodiesel,TM
sustainable biofuel,TM
sustainable biogas,TM
sustainable biorefinery,TM
sustainable vermicomposting,TM
synergistic bioconversion,TM
synergistic methane,TM
syngas biomethanation,TM
syngas fermentation,TM
tank digester,TM
tank reactor,TM
thermophilic biodigestion,TM
thermophilic bioenergy,TM
thermophilic biogas,TM
thermophilic biohydrogen,TM
thermophilic bioreactor,TM
tube biodigester,TM
tubular photobioreactor,TM
vermibiotechnology,TM
vermicompost yield,TM
vermi composting,TM
vermicomposting earthworm,TM
vermicomposting plant,TM
vermicomposting process,TM
vermicomposting reactor,TM
vermicomposting system,TM
vermiconversion,TM
vermiconversion technologies,TM
vermifilter bioreactor,TM
vermifiltration,TM
vermifiltration processing,TM
vermireactors,TM
vertical compost,TM
waste bioconversion,TM
waste biotransformation,TM
waste ethanol,TM
waste fermentation,TM
waste gas,TM
waste treatment,TM
waste vermicomposting,TM
waste windrow,TM
wastewater biotransformation,TM
wet digestion,TM
windrow,TM
windrow piles,TM
compost aerobic,TM
bioreactor aerobic,TM
aerobic bioconversion,TM
biogas plant,TM
mesophilic digestion,TM
batch fermenters,TM
vermifuel technology,TM
microalgae cultivation,TM
biodigester systems,TM
phototrophic bacteria,TM
microalgae harvesting,TM
vermifuel reactors,TM
abattoir waste,OWT
acerola residue,OWT
aerobic sludge,OWT
african biomass,OWT
agave bagasse,OWT
agricultural biomass,OWT
agricultural residue,OWT
agricultural waste,OWT
agriwaste,OWT
agro wastes,OWT
agro biomass,OWT
agroforestry biomass,OWT
agroindustrial biomass,OWT
agroindustrial effluents,OWT
agroindustrial wastewater,OWT
agro residue,OWT
agro waste,OWT
algae sludge,OWT
algal biochar,OWT
algal biomass,OWT
algal feedstocks,OWT
algal residues,OWT
alternative waste,OWT
anaerobic biomass,OWT
anaerobic digestate,OWT
anaerobic effluent,OWT
anaerobic sludge,OWT
anaerobic waste,OWT
anaerobic wastewater,OWT
animal biomass,OWT
animal dung,OWT
animal excreta,OWT
animal manure,OWT
animal slurry,OWT
animal waste,OWT
animal wastewater,OWT
apple bagasse,OWT
apple peel,OWT
apple pomace,OWT
aquaculture waste,OWT
aquatic biomass,OWT
aqueous effluents,OWT
artichoke biowastes,OWT
australis straw,OWT
bagasse,OWT
bagasse ash,OWT
bagasse biochar,OWT
bagasse lignocellulose,OWT
bagasse mix,OWT
bagasse slurry,OWT
bagasse varieties,OWT
bagasse wastes,OWT
